agenda_name,agenda_section,agenda_sub_section,agenda_full_name,link_url,link_text,title,authors,author_organizations,published_year,date
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,,Their 60-page System Cards now contain a large amount of their public safety work.,,,,,
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://arxiv.org/abs/2503.11926,Monitoring Reasoning Models for Misbehavior and the Risks of Promoting Obfuscation,Monitoring Reasoning Models for Misbehavior and the Risks of Promoting Obfuscation,"Bowen Baker, Joost Huizinga, Leo Gao, Zehao Dou, Melody Y. Guan, Aleksander Madry, Wojciech Zaremba, Jakub Pachocki, David Farhi",OpenAI,2025,2025-03-14
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://arxiv.org/abs/2506.19823,Persona Features Control Emergent Misalignment,Persona Features Control Emergent Misalignment,"Miles Wang, Tom Dupré la Tour, Olivia Watkins, Alex Makelov, Ryan A. Chi, Samuel Miserendino, Jeffrey Wang, Achyuta Rajaram, Johannes Heidecke, Tejal Patwardhan, Dan Mossing",,2025,2025-06-24
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://arxiv.org/abs/2509.15541,Stress Testing Deliberative Alignment for Anti-Scheming Training,Stress Testing Deliberative Alignment for Anti-Scheming Training,"Bronson Schoen, Evgenia Nitishinskaya, Mikita Balesni, Axel Højmark, Felix Hofstätter, Jérémy Scheurer, Alexander Meinke, Jason Wolfe, Teun van der Weij, Alex Lloyd, Nicholas Goldowsky-Dill, Angela Fan, Andrei Matveiakin, Rusheb Shah, Marcus Williams, Amelia Glaese, Boaz Barak, Wojciech Zaremba, Marius Hobbhahn","OpenAI, Anthropic",2025,2025-09-19
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://arxiv.org/abs/2412.16339,Deliberative Alignment: Reasoning Enables Safer Language Models,Deliberative Alignment: Reasoning Enables Safer Language Models,"Melody Y. Guan, Manas Joglekar, Eric Wallace, Saachi Jain, Boaz Barak, Alec Helyar, Rachel Dias, Andrea Vallone, Hongyu Ren, Jason Wei, Hyung Won Chung, Sam Toyer, Johannes Heidecke, Alex Beutel, Amelia Glaese",OpenAI,2024,2024-12-20
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://openai.com/index/emergent-misalignment,Toward understanding and preventing misalignment generalization,Toward understanding and preventing misalignment generalization,"Miles Wang, Tom Dupré la Tour, Olivia Watkins, Aleksandar Makelov, Ryan A. Chi, Samuel Miserendino, Tejal Patwardhan, Dan Mossing",OpenAI,2025,2025-06-18
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://openai.com/index/updating-our-preparedness-framework/,Our updated Preparedness Framework,Our updated Preparedness Framework,OpenAI Preparedness Team,OpenAI,2025,2025-04-15
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://arxiv.org/abs/2501.18841,Trading Inference-Time Compute for Adversarial Robustness,Trading Inference-Time Compute for Adversarial Robustness,"Wojciech Zaremba, Evgenia Nitishinskaya, Boaz Barak, Stephanie Lin, Sam Toyer, Yaodong Yu, Rachel Dias, Eric Wallace, Kai Xiao, Johannes Heidecke, Amelia Glaese",OpenAI,2025,2025-01-31
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://arxiv.org/abs/2505.16260,Small-to-Large Generalization: Data Influences Models Consistently Across Scale,Small-to-Large Generalization: Data Influences Models Consistently Across Scale,"Alaa Khaddaj, Logan Engstrom, Aleksander Madry",MIT,2025,2025-05-22
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://openai.com/index/openai-anthropic-safety-evaluation,Findings from a pilot Anthropic–OpenAI alignment evaluation exercise: OpenAI Safety Tests,Findings from a pilot Anthropic–OpenAI alignment evaluation exercise: OpenAI Safety Tests,,"OpenAI, Anthropic",2025,2025-08-27
