!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
AI Fellowship (Winter 2027),ERA,https://airtable.com/appaZQNjlqYOCy4lV/pag0VHHxQWTBRmHHS/form,Cambridge.UK,2026-08-24,13/9/2026,1. AI safety & policy,"* In this 10-week fellowship, you'll undertake a research project on mitigating catastrophic AI risks, choosing from three tracks: AI Governance, Technical AI Governance, or Technical AI Safety.
* Develop your individual research project under the guidance of experts in your chosen field.
* Engage with ERA's network of researchers and entrepreneurs to build professional connections.
* Receive personalised career support and professional development throughout the programme.",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)",Research,Fellowship,Not Found,https://erafellowship.org/,https://erafellowship.org/team,https://80000hours.org/wp-content/uploads/2023/02/Existential-Risk-Alliance.png,checked
"Research Manager, Talent Development Team",GovAI,https://www.governance.ai/post/dc-research-manager-talent-development-team,"""Washington, DC metro area.USA""",2026-08-24,13/9/2026,1. AI safety & policy,"* In this role, you'll manage around 10 Seasonal Fellows per cohort, supporting their research projects and career development.
* Conduct weekly meetings with fellows to set clear goals, monitor project progress, and support their career search.
* Contribute to cohort selection through application review, interviews, and candidate recommendations.
* Support fellowship setup by recruiting supervisors, arranging speakers and events, and developing training materials.
* Run workshops and expert sessions while evaluating program impact and recommending improvements.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Operations, Management, Research",Full-time,"$105,000 - $150,000",https://www.governance.ai/,https://www.governance.ai/opportunities,https://80000hours.org/wp-content/uploads/2021/12/centre-for-the-governance-of-ai.jpeg,checked
Entrepreneur-in-Residence,GovAI,https://www.governance.ai/post/eir,"""Washington, DC metro area.USA"",London.UK",2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll identify, test, and launch a new organization or project in AI governance and safety.
* Develop your idea using ~£150k in seed funding and close mentorship from GovAI's senior team.
* Receive thought partnership through regular sessions, feedback meetings, and help finding external advisors.
* Build your network via introductions to funders, co-founders, early hires, and AI governance leaders.
* Launch an independent organization or promising project by the end of the 12-month residency period.",Undergraduate degree or less,Multiple experience levels,Strategy,Other,"£70,000 - £113,500; $80,000 - $180,000",https://www.governance.ai/,https://www.governance.ai/opportunities,https://80000hours.org/wp-content/uploads/2021/12/centre-for-the-governance-of-ai.jpeg,checked
Senior Designer,Lightcone Infrastructure,https://www.lightconeinfrastructure.com/senior-designer.html,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll create beautiful, intuitive websites and lead large-scale design projects end-to-end.
* Develop designs with deep expertise in HTML, CSS and frontend coding.
* Deliver world-class design work equivalent to flagship projects like AI 2027.
* Manage projects from conception through completion with rigorous attention to craftsmanship.
* Build products that prioritise beauty, intuitiveness and exceptional user experience.",Undergraduate degree or less,Mid (5-9 years experience),Other,Full-time,"$160,000 - $300,000",https://www.lightconeinfrastructure.com/index.html,https://www.lightconeinfrastructure.com/index.html,https://80000hours.org/wp-content/uploads/2021/10/lightcone-infrastructure.png,checked
"Generalist, Core Team",Lightcone Infrastructure,https://www.lightconeinfrastructure.com/core-team-generalist.html,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll work as a core team generalist handling diverse responsibilities across design, programming, operations, and strategic initiatives.
* Adapt quickly to shifting priorities and team reconfigurations every few weeks based on organisational needs.
* Develop versatility across multiple domains including backend work, event management, construction, legal matters, and fundraising.
* Collaborate effectively with team members who serve rotating leadership roles across different projects.
* Deliver work with meticulous attention to detail and exceptional commitment to quality.",Undergraduate degree or less,Multiple experience levels,"Operations, Management, Strategy",Full-time,"Up to $400,000",https://www.lightconeinfrastructure.com/index.html,https://www.lightconeinfrastructure.com/index.html,https://80000hours.org/wp-content/uploads/2021/10/lightcone-infrastructure.png,checked
Campus Operations Co-Lead,Lightcone Infrastructure,https://www.lightconeinfrastructure.com/campus-operations-co-lead.html,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll manage operations at Lighthaven, a Berkeley campus hosting events, fellowships and conferences.
* Ensure programmes run smoothly for clients by coordinating logistics, facilities and vendor management.
* Develop pricing strategies and budgets for conferences and fellowships while optimising costs.
* Address operational challenges across facilities, permits, software deployment and supply logistics.
* Identify opportunities to develop new events and programmes for campus utilisation and revenue.",Undergraduate degree or less,Multiple experience levels,Operations,Full-time,"$100,000 - $300,000",https://www.lightconeinfrastructure.com/index.html,https://www.lightconeinfrastructure.com/index.html,https://80000hours.org/wp-content/uploads/2021/10/lightcone-infrastructure.png,checked
Policy Advisor,Machine Intelligence Research Institute ,https://jobs.ashbyhq.com/miri/5d13ba07-8fbf-4f46-aa1b-9000a7d1dc3f,"""Washington, DC metro area.USA""",2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct technical governance research and engage with policymakers to design policies reducing AI risks.
* Brief government offices and policy bodies on AI safety topics and MIRI's governance research.
* Develop concrete implementation details for policy ideas, transforming concepts into draft legislation.
* Conduct full-stack AI policy research identifying gaps and designing comprehensive policy solutions.
* Network across the AI policy community and provide feedback on draft regulations.",Undergraduate degree or less,Mid (5-9 years experience),Policy,Full-time,"$100,000 - $300,000",https://www.intelligence.org,https://intelligence.org/careers/,https://cdn.80000hours.org/wp-content/uploads/2017/03/miri_logo2-150x150.png,checked
"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,https://www.tarbellcenter.org/careers/head-of-partnerships-fellowship,"""Washington, DC metro area.USA""",2026-08-24,20/9/2026,1. AI safety & policy,"* In this role, you'll forge and maintain relationships with newsrooms to scale Tarbell's fellowship program globally.
* Scout and prioritize newsrooms for expansion, owning the strategy to onboard new partners and maintain existing relationships.
* Build fellowship pipelines by identifying promising candidates through relationships with journalists and journalism schools.
* Consult on journalism matters, including interviewing candidates and teaching curriculum components.",Undergraduate degree or less,Mid (5-9 years experience),Outreach,Fellowship,"$118,000 - $164,000",https://www.tarbellcenter.org/,https://www.tarbellcenter.org/jobs,https://80000hours.org/wp-content/uploads/2024/06/Tarbell_logo.png,checked
Founding Recruiter,Center for AI Safety,https://job-boards.greenhouse.io/centerforartificialintelligencesafetyinc/jobs/4377932009,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll build CAIS's recruiting function from scratch, managing the full lifecycle from sourcing through offer close.
* Design and improve interview processes with structured rubrics and scorecards for consistent hiring decisions.
* Build sourcing strategies and pipelines for hard-to-fill technical and research roles, including passive candidates.
* Set up recruiting infrastructure: ATS configuration, sourcing tools, and reporting systems.
* Partner with leadership and hiring managers on role requirements, job descriptions, and hiring plans.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Operations,Full-time,"$145,000 - $185,000",https://www.cais.ai/,https://www.safe.ai/careers,https://80000hours.org/wp-content/uploads/2023/11/Center-for-AI-safety.jpeg,checked
"Senior Manager, People Operations",Center for AI Safety,https://job-boards.greenhouse.io/centerforartificialintelligencesafetyinc/jobs/4368313009,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll build people operations systems from the ground up, owning the full lifecycle from hiring through offboarding.
* Own HR infrastructure including HRIS, payroll, benefits, and compliance recordkeeping.
* Establish internal policies, handbook, leave processes, and performance frameworks for growth.
* Develop compensation best practices and partner with operations functions to integrate people workflows.
* Champion culture initiatives and automate people-ops systems using AI tools to scale efficiently.",Undergraduate degree or less,Mid (5-9 years experience),Operations,Full-time,"$160,000 - $200,000",https://www.cais.ai/,https://www.safe.ai/careers,https://80000hours.org/wp-content/uploads/2023/11/Center-for-AI-safety.jpeg,checked
