# Build Spec §10 step 1: "Org-level tags are manual. Owner fills orgs.csv with primary and
# secondary agendas. The only hand-tagging in the system."
#
# STATUS: tagged by the build from public descriptions and published output, NOT by the owner.
# Every row is a revealed-evidence judgement and should be reviewed. See OWNER-DATA.md item OD-04.
#
# agenda ids come from data/derived/agendas.json (technical, from Shallow Review 2025) and
# data/seed/policy-levers.json (policy, ids prefixed pol_). An org may be tagged to either domain;
# domain is inferred from the id prefix.
#
# maturity_tier per spec §8: established | new_entrant | structurally_understaffed
#   structurally_understaffed = the org's remit is visibly larger than its headcount can serve,
#   which is a different claim from "small". Government bodies and single-issue advocacy orgs
#   dominate this tier.
#
# confidence: high   = the org's public identity IS this agenda
#             medium = clear primary but real spread across secondaries
#             low    = inferred from thin evidence; treat as a prompt for owner review
#
# Coverage note: the top 100 orgs by posting count carry 76% of AI-relevant roles. The long tail
# is deliberately left untagged rather than guessed — see the untagged handling in ingest-roles.ts.
org,primary_agenda_id,secondary_agenda_ids,maturity_tier,confidence,note
Anthropic,iterative_alignment_at_post_train_time,sparse_coding;control;model_specs_and_constitutions;ai_scheming_evals;character_training_and_persona_steering;safeguards_inference_time_auxiliaries;chain_of_thought_monitoring;various_redteams;model_values_model_preferences;pol_security_infosec;reverse_engineering,established,high,"Frontier lab. Runs several agendas at once; single primary is a compression, per the spec §7 caveat on orgs as points."
OpenAI,iterative_alignment_at_post_train_time,supervising_ais_improving_ais;capability_evals;weak_to_strong_generalization;chain_of_thought_monitoring;safeguards_inference_time_auxiliaries;various_redteams;pol_security_infosec;aligned_to_who;autonomy_evals,established,high,"Frontier lab. Alignment, Safety Systems, Preparedness and Model Policy teams."
Google DeepMind,iterative_alignment_at_post_train_time,debate;sparse_coding;capability_evals;agent_foundations;safeguards_inference_time_auxiliaries;chain_of_thought_monitoring;various_redteams;autonomy_evals,established,high,"Frontier lab. Source names amplified oversight, interpretability and automated alignment."
xAI,various_redteams,capability_evals,established,low,"Applied Safety and Model Evaluation teams; source describes the safety focus as nominal and misuse-oriented."
Meta,iterative_alignment_at_post_train_time,harm_reduction_for_open_weights,established,low,"Safety work integrated into capabilities; FAIR Alignment team."
Apollo Research,ai_scheming_evals,ai_deception_evals;sandbagging_evals;chain_of_thought_monitoring,established,high,"Scheming and deception evaluations are the org's public identity."
Redwood Research,control,ai_scheming_evals;chain_of_thought_monitoring,established,high,"Originated the control agenda."
Goodfire,sparse_coding,reverse_engineering;pragmatic_interpretability;activation_engineering,new_entrant,high,"Interpretability company."
Transluce,pragmatic_interpretability,other_interpretability;extracting_latent_knowledge;various_redteams;ai_explanations_of_ais,new_entrant,high,"Open interpretability and model-behaviour tooling."
Tilde Research,sparse_coding,reverse_engineering;representation_structure_and_geometry,new_entrant,high,"Interpretability startup."
EleutherAI,harm_reduction_for_open_weights,data_filtering;other_interpretability,established,medium,"Open-weights research org."
Model Evaluation and Threat Research,autonomy_evals,capability_evals;agi_metrics,established,high,"METR. Autonomy and time-horizon evaluation."
Gray Swan,various_redteams,capability_evals;safeguards_inference_time_auxiliaries,new_entrant,high,"Adversarial robustness and red-teaming products."
Haize Labs,various_redteams,capability_evals,new_entrant,high,"Red-teaming and evaluation."
White Circle,various_redteams,safeguards_inference_time_auxiliaries,new_entrant,medium,"Guardrails and moderation evaluation."
Palisade Research,capability_evals,various_redteams;self_replication_evals,new_entrant,high,"Demonstrates offensive capabilities to inform policy."
Apart Research,various_redteams,other_evals;other_interpretability,new_entrant,medium,"Distributed research sprints across several agendas."
FAR AI,other_interpretability,various_redteams;control;ai_deception_evals;capability_evals;theory_for_aligning_multiple_ais,established,medium,"Research org with a broad technical portfolio plus field-building."
Alignment Research Center,heuristic_explanations,asymptotic_guarantees;extracting_latent_knowledge,established,high,"ARC theory. Heuristic arguments and formal explanation."
Machine Intelligence Research Institute,pol_public_narrative,agent_foundations;other_corrigibility;pol_frontier_regulation,established,high,"Now substantially communications-focused, but the research identity remains agent foundations."
Center on Long-Term Risk,theory_for_aligning_multiple_ais,tools_for_aligning_multiple_ais;aligning_to_context,established,high,"Multi-agent conflict and cooperative AI."
LawZero,scientist_ai,guaranteed_safe_ai;asymptotic_guarantees,new_entrant,high,"Bengio's non-agentic Scientist AI programme."
Atlas Computing,guaranteed_safe_ai,asymptotic_guarantees,new_entrant,high,"Safety-by-construction and formal specification tooling."
Beneficial AI Foundation,agent_foundations,behavior_alignment_theory,new_entrant,low,"Thin public evidence; low confidence."
AIXI Labs,the_learning_theoretic_agenda,agent_foundations,new_entrant,medium,"Name signals the learning-theoretic tradition."
Principia,agent_foundations,natural_abstractions,new_entrant,low,"Thin public evidence."
Neo Research,other_interpretability,reverse_engineering,new_entrant,low,"Thin public evidence."
Timaeus,learning_dynamics_and_developmental_interpretability,sparse_coding,new_entrant,high,"Developmental interpretability and singular learning theory."
Simplex,learning_dynamics_and_developmental_interpretability,representation_structure_and_geometry,new_entrant,medium,"Computational mechanics applied to model internals."
Elicit,supervising_ais_improving_ais,ai_explanations_of_ais,established,medium,"Automating research workflows; adjacent to the make-AI-solve-it family."
Andon Labs,autonomy_evals,capability_evals;various_redteams,new_entrant,medium,"Agentic evaluation in embodied and long-horizon settings."
Aligned AI,capability_removal_unlearning,mild_optimisation,new_entrant,medium,"Concept extrapolation and goal generalisation."
Conjecture,other_interpretability,pol_public_narrative,established,low,"Direction has shifted; low confidence."
AE Studio,the_neglected_approaches_approach,other_interpretability,new_entrant,high,"Explicitly runs the neglected-approaches portfolio."
Meridian Labs,other_interpretability,various_redteams,new_entrant,low,"Thin public evidence."
Syntony,other_interpretability,safeguards_inference_time_auxiliaries,new_entrant,low,"Thin public evidence."
Resolution,various_redteams,capability_evals,new_entrant,low,"Thin public evidence."
Frame,other_evals,various_redteams,new_entrant,low,"Thin public evidence."
Augur,other_evals,capability_evals,new_entrant,low,"Thin public evidence."
0Labs,other_interpretability,,new_entrant,low,"Thin public evidence."
